schedule_date,schedule_date,schedule_season,schedule_week,team_home,team_away,stadium_surface,stadium_type,stadium_capacity,spread_favorite
2008-12-14,2008-12-14,2008,15,HOU,TEN,Grass,indoor,"71,500",3.0
2008-12-14,2008-12-14,2008,15,IND,DET,FieldTurf,indoor,"63,000",-17.0
2008-12-14,2008-12-14,2008,15,JAX,GB,Grass,outdoor,"67,264",2.5
2008-12-14,2008-12-14,2008,15,KC,LAC,Grass,outdoor,"76,416",5.5
2008-12-14,2008-12-14,2008,15,MIA,SF,Grass,outdoor,65000,-5.5
2008-12-14,2008-12-14,2008,15,NYJ,BUF,Grass,outdoor,82500,-8.0
2008-12-14,2008-12-14,2008,15,LVR,NE,Grass,outdoor,"53,250",7.0
2008-12-14,2008-12-14,2008,15,LAR,SEA,FieldTurf,indoor,67000,2.5
2008-12-15,2008-12-15,2008,15,PHI,CLE,Grass,outdoor,"69,176",-16.0
2008-12-18,2008-12-18,2008,16,JAX,IND,Grass,outdoor,"67,264",6.0
2008-12-20,2008-12-20,2008,16,DAL,BAL,FieldTurf,outdoor,66000,-5.5
2008-12-21,2008-12-21,2008,16,CLE,CIN,Grass,outdoor,"68,000",-2.0
2008-12-21,2008-12-21,2008,16,DEN,BUF,Grass,outdoor,"76,125",-6.5
2008-12-21,2008-12-21,2008,16,DET,NO,FieldTurf,indoor,"65,000",7.0
2008-12-21,2008-12-21,2008,16,KC,MIA,Grass,outdoor,"76,416",3.5
2008-12-21,2008-12-21,2008,16,MIN,ATL,FieldTurf,indoor,64000,-3.0
2008-12-21,2008-12-21,2008,16,NE,ARI,FieldTurf,outdoor,"68,756",-8.0
2008-12-21,2008-12-21,2008,16,NYG,CAR,Grass,outdoor,82500,-4.0
2008-12-21,2008-12-21,2008,16,LVR,HOU,Grass,outdoor,"53,250",7.0
2008-12-21,2008-12-21,2008,16,SEA,NYJ,FieldTurf,outdoor,"67,000",3.5
2008-12-21,2008-12-21,2008,16,LAR,SF,FieldTurf,indoor,67000,3.5
2008-12-21,2008-12-21,2008,16,TB,LAC,Grass,outdoor,"65,890",-4.5
2008-12-21,2008-12-21,2008,16,TEN,PIT,Grass,outdoor,"69,143",3.0
2008-12-21,2008-12-21,2008,16,WAS,PHI,Grass,outdoor,"79,000",6.0
2008-12-22,2008-12-22,2008,16,CHI,GB,Grass,outdoor,"61,500",-4.0
2008-12-28,2008-12-28,2008,17,ARI,SEA,Grass,indoor,"63,400",-7.0
2008-12-28,2008-12-28,2008,17,ATL,LAR,FieldTurf,indoor,"71,250",-14.0
2008-12-28,2008-12-28,2008,17,BAL,JAX,FieldTurf,outdoor,"71,008",-10.5
2008-12-28,2008-12-28,2008,17,BUF,NE,FieldTurf,outdoor,"73,967",5.5
2008-12-28,2008-12-28,2008,17,CIN,KC,FieldTurf,outdoor,"65,515",-1.5
2008-12-28,2008-12-28,2008,17,GB,DET,Grass,outdoor,"80,735",-11.0
2008-12-28,2008-12-28,2008,17,HOU,CHI,Grass,indoor,"71,500",-3.0
2008-12-28,2008-12-28,2008,17,IND,TEN,FieldTurf,indoor,"63,000",3.0
2008-12-28,2008-12-28,2008,17,MIN,NYG,FieldTurf,indoor,64000,-7.0
2008-12-28,2008-12-28,2008,17,NO,CAR,FieldTurf,indoor,"76,468",1.5
2008-12-28,2008-12-28,2008,17,NYJ,MIA,Grass,outdoor,82500,-2.5
2008-12-28,2008-12-28,2008,17,PHI,DAL,Grass,outdoor,"69,176",-2.0
2008-12-28,2008-12-28,2008,17,PIT,CLE,Grass,outdoor,"65,500",-11.5
2008-12-28,2008-12-28,2008,17,LAC,DEN,Grass,outdoor,"71,500",-7.0
2008-12-28,2008-12-28,2008,17,SF,WAS,Grass,outdoor,70000,-3.0
2008-12-28,2008-12-28,2008,17,TB,LVR,Grass,outdoor,"65,890",-10.5
2009-09-10,2009-09-10,2009,1,PIT,TEN,Grass,outdoor,"65,500",-6.5
2009-09-13,2009-09-13,2009,1,ARI,SF,Grass,indoor,"63,400",-4.5
2009-09-13,2009-09-13,2009,1,ATL,MIA,FieldTurf,indoor,"71,250",-4.0
2009-09-13,2009-09-13,2009,1,BAL,KC,FieldTurf,outdoor,"71,008",-13.0
2009-09-13,2009-09-13,2009,1,CAR,PHI,Grass,outdoor,"73,778",2.5
2009-09-13,2009-09-13,2009,1,CIN,DEN,FieldTurf,outdoor,"65,515",-5.0
2009-09-13,2009-09-13,2009,1,CLE,MIN,Grass,outdoor,"68,000",4.5
2009-09-13,2009-09-13,2009,1,GB,CHI,Grass,outdoor,"80,735",-5.0
2009-09-13,2009-09-13,2009,1,HOU,NYJ,Grass,indoor,"71,500",-4.5
2009-09-13,2009-09-13,2009,1,IND,JAX,FieldTurf,indoor,"63,000",-6.0
2009-09-13,2009-09-13,2009,1,NO,DET,FieldTurf,indoor,"76,468",-14.0
2009-09-13,2009-09-13,2009,1,NYG,WAS,Grass,outdoor,82500,-6.0
2009-09-13,2009-09-13,2009,1,SEA,LAR,FieldTurf,outdoor,"67,000",-7.0
2009-09-13,2009-09-13,2009,1,TB,DAL,Grass,outdoor,"65,890",5.0
2009-09-14,2009-09-14,2009,1,NE,BUF,FieldTurf,outdoor,"68,756",-13.5
2009-09-14,2009-09-14,2009,1,LVR,LAC,Grass,outdoor,"53,250",10.0
2009-09-20,2009-09-20,2009,2,ATL,CAR,FieldTurf,indoor,"71,250",-5.5
2009-09-20,2009-09-20,2009,2,BUF,TB,FieldTurf,outdoor,"73,967",-4.0
2009-09-20,2009-09-20,2009,2,CHI,PIT,Grass,outdoor,"61,500",3.0
2009-09-20,2009-09-20,2009,2,DAL,NYG,FieldTurf,indoor,"80,000",-3.0
2009-09-20,2009-09-20,2009,2,DEN,CLE,Grass,outdoor,"76,125",-3.0
